id,name,distance,moving_time,type,average_speed,start_date,total_elevation_gain,gear_id,average_heartrate,elapsed_time,kilojoules,calories,average_cadence,average_watts,weighted_average_watts,sport_type
294547393,"04/28/2015 Midland, Michigan",48292.0,1:43:58,Ride,7.742,2015-04-28 22:38:32+00:00,23.7,b1683032,139.1,1:44:20,1572.7,,,252.1,,Ride
304750927,Giant Demo days,14748.1,0:29:09,Ride,8.432,2015-05-04 20:08:45+00:00,0.0,b1683032,,0:30:58,514.1,,42.0,294.0,,Ride
304750925,Giant Demo Days,12750.3,0:25:58,Ride,8.184,2015-05-04 20:48:59+00:00,0.0,b1683032,,0:26:21,439.0,,,281.8,,Ride
304750930,"05/04/2015 Midland, Michigan",3532.7,0:12:29,Ride,4.717,2015-05-04 21:30:57+00:00,0.0,b1683032,,0:12:52,93.8,,,125.2,,Ride
304754690,Cutting Grass,1909.5,0:44:33,Walk,0.714,2015-05-13 21:34:49+00:00,0.0,,,0:57:10,,,,,,Walk
304757124,Evening Swim,3218.7,1:00:00,Swim,0.894,2015-05-14 00:40:00+00:00,0.0,,,1:00:00,,,,,,Swim
304751826,"05/14/2015 Midland, Michigan",11459.1,0:21:15,Ride,8.988,2015-05-14 21:37:43+00:00,0.0,b1683032,154.2,1:34:13,408.1,,,320.1,,Ride
304755564,Evening Ride,32186.9,1:09:00,Ride,7.775,2015-05-15 00:40:00+00:00,0.0,b1683032,,1:09:00,,,,,,Ride
305783889,"05/16/2015 Midland, Michigan",49861.4,1:46:41,Ride,7.79,2015-05-16 13:03:37+00:00,24.0,b1683032,151.2,1:46:56,1638.3,,,255.9,,Ride
306749126,"05/17/2015 Midland, Michigan",60636.0,2:10:03,Ride,7.771,2015-05-17 19:07:03+00:00,24.6,b1683032,153.7,2:11:59,1995.6,,,255.7,,Ride
309370519,Morning Ride to work,6254.0,0:14:24,Ride,7.238,2015-05-22 11:10:32+00:00,12.5,b1683032,,0:14:41,220.2,,,254.9,,Ride
309546750,Lunch Activity,6292.5,0:24:54,Workout,4.212,2015-05-22 16:48:42+00:00,10.7,,,0:29:41,,,,,,Workout
309722685,"05/22/2015 Midland, Michigan",48775.2,1:40:30,Ride,8.089,2015-05-22 22:26:18+00:00,24.3,b1683032,148.5,1:40:30,1634.9,,,271.1,,Ride
310968492,"05/24/2015 Midland, Michigan",101722.0,3:41:42,Ride,7.647,2015-05-24 12:51:33+00:00,66.9,b1683032,,3:45:01,3255.8,,,244.8,,Ride
